                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     210                                      776                  1.0000000000000000E+000                  1.7000000000000001E-002                  4.6030000000000000E+009                  6.3413433593949854E+007                  5.5687894205783014E+003                  8.0307725424817122E-001                  9.6274269542404778E-001                 -1.5327987269848291E+000                  4.4256930583388326E-001                  1.8236956727732979E-005                  5.3992824938410633E-001                  1.5129301235082314E-005                  4.4864118125480575E-003                  7.1835546779907972E-003                  1.5869230325195945E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  7.0344438744477877E-001                  8.8623341411507865E-004                  2.7856096787680829E-001                  2.3604045866202372E-003                  1.6446787402084899E-003                  7.3042159039605889E-003                  1.5869230325195969E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4541481742778597E+003                  3.0458839368915804E+007                  1.2452102144720621E+010                  8.0295327969056907E-001                  8.0295327969056918E-001                  3.2012611876299958E-045                  1.7997627001399247E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4525963280000000E+017                               "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231017"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   csound                                       pp                                      cno                                tri_alpha 
                                       1                  1.0000000000000000E+000                 -1.6489767796442224E-002                  3.7461973391845671E+000                 -6.7507108118505865E+000                  4.8140863012080723E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6274269542404778E-001                  7.7708549724972190E+005                  2.8724429704690691E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999999999899991E-001                 -1.6491056035302279E-002                  3.7471843043102293E+000                 -6.7439466111998732E+000                  4.8218389893255598E+000                  7.3500000000000021E-001                  2.4800000000000000E-001                  1.6999999999999793E-002                  9.6273983966427024E-001                  7.7792887703230383E+005                  2.9175505518731334E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999999999775002E-001                 -1.6492641463279441E-002                  3.7482959625947805E+000                 -6.7366051762515147E+000                  4.8302939430017027E+000                  7.3500000000000021E-001                  2.4800000000000000E-001                  1.6999999999999793E-002                  9.6273632510916052E-001                  7.7887839630195475E+005                  2.9673095883306113E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999999999650002E-001                 -1.6494200332923679E-002                  3.7499851781184352E+000                 -6.7259157021736531E+000                  4.8426757068950890E+000                  7.3500000000000021E-001                  2.4800000000000000E-001                  1.6999999999999793E-002                  9.6273286944071046E-001                  7.8031990144351334E+005                  3.0412827547569597E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999999999400002E-001                 -1.6497242319002067E-002                  3.7523017583767597E+000                 -6.7122582528460093E+000                  4.8586544777355591E+000                  7.3500000000000021E-001                  2.4800000000000000E-001                  1.6999999999999793E-002                  9.6272612606760433E-001                  7.8229362355432403E+005                  3.1384848304361583E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999999999150002E-001                 -1.6500190191924034E-002                  3.7546838557449949E+000                 -6.6992336774148216E+000                  4.8740665642354104E+000                  7.3500000000000021E-001                  2.4800000000000000E-001                  1.6999999999999793E-002                  9.6271959136646301E-001                  7.8431796734409651E+005                  3.2340759240213337E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999999998900002E-001                 -1.6503051027484721E-002                  3.7574406738373698E+000                 -6.6852879707509967E+000                  4.8907759569456992E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6271324964791627E-001                  7.8665256702550163E+005                  3.3396581121140231E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999999998587508E-001                 -1.6506514140686254E-002                  3.7606201663975822E+000                 -6.6706337933235957E+000                  4.9086183201410041E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6270557289444525E-001                  7.8933220929909148E+005                  3.4543210045845699E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999999998275013E-001                 -1.6509862428075912E-002                  3.7639233093165050E+000                 -6.6568080608953260E+000                  4.9257570093739202E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6269815073589105E-001                  7.9209875775107509E+005                  3.5661094260475873E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  9.9999999997962519E-001                 -1.6513105875650309E-002                  3.7665023688799253E+000                 -6.6469707007353058E+000                  4.9381816418407682E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6269096103062823E-001                  7.9424442959409114E+005                  3.6478462522408157E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      11                  9.9999999997806266E-001                 -1.6514691304548648E-002                  3.7682550546127280E+000                 -6.6406391681815018E+000                  4.9462716663286646E+000                  7.3500000000000021E-001                  2.4800000000000000E-001                  1.6999999999999793E-002                  9.6268744665191175E-001                  7.9569461217525520E+005                  3.7014422797968895E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  9.9999999997650013E-001                 -1.6516253804310280E-002                  3.7709369621835083E+000                 -6.6314708379167451E+000                  4.9581311390927665E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6268398311216463E-001                  7.9790012058921019E+005                  3.7804507299977213E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      13                  9.9999999997337519E-001                 -1.6519313572730648E-002                  3.7746741152541547E+000                 -6.6198961633698641E+000                  4.9734566453036964E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6267720066431717E-001                  8.0094327173350111E+005                  3.8826094999829894E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      14                  9.9999999997025024E-001                 -1.6522292932454916E-002                  3.7805255005356275E+000                 -6.6037504519179686E+000                  4.9954768406778669E+000                  7.3500000000000010E-001                  2.4800000000000005E-001                  1.6999999999999904E-002                  9.6267059650064357E-001                  8.0563112117497483E+005                  4.0297412092790034E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  9.9999999996400024E-001                 -1.6528034365542218E-002                  3.7891382186100282E+000                 -6.5846759879798773E+000                  5.0232025514292955E+000                  7.3499998518227694E-001                  2.4800001481772321E-001                  1.6999999999999904E-002                  9.6265786994640257E-001                  8.1232953728543571E+005                  4.2107642182138305E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      16                  9.9999999995775024E-001                 -1.6533529302298691E-002                  3.7963210042849158E+000                 -6.5722034754179548E+000                  5.0428947196503442E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6264568993751543E-001                  8.1769807684857410E+005                  4.3335083661119356E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      17                  9.9999999995462530E-001                 -1.6536199063622112E-002                  3.8013757302923841E+000                 -6.5646378034303643E+000                  5.0555439502633570E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6263977223319541E-001                  8.2134252016501012E+005                  4.4097007544442622E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  9.9999999995150035E-001                 -1.6538822766825022E-002                  3.8067565251882627E+000                 -6.5577609789760096E+000                  5.0678354561356533E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6263395665521845E-001                  8.2508572013816389E+005                  4.4801177951637486E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      19                  9.9999999994837541E-001                 -1.6541405298699338E-002                  3.8125046055364558E+000                 -6.5515960739834673E+000                  5.0797889186843159E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6262823236999639E-001                  8.2891576853510295E+005                  4.5442005483498232E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  9.9999999994525046E-001                 -1.6543951475040918E-002                  3.8186553019657308E+000                 -6.5461623031648690E+000                  5.0914224387326659E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6262258870159112E-001                  8.3280505103334319E+005                  4.6014431106132721E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      21                  9.9999999994212552E-001                 -1.6546466036753551E-002                  3.8252304280983935E+000                 -6.5414673057533035E+000                  5.1027527013863754E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6261701514033582E-001                  8.3670504920225835E+005                  4.6514835001096072E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      22                  9.9999999993900057E-001                 -1.6548953603852959E-002                  3.8322229607999545E+000                 -6.5374918463632410E+000                  5.1137951199510985E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6261150144477181E-001                  8.4054528247436008E+005                  4.6942802354084483E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      23                  9.9999999993587563E-001                 -1.6551418546243951E-002                  3.8377439277777454E+000                 -6.5349790402381798E+000                  5.1218966815716289E+000                  7.3499998297470615E-001                  2.4800001702529406E-001                  1.6999999999999793E-002                  9.6260603792805399E-001                  8.4334491129040089E+005                  4.7215340973496479E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
